circo,dept,identifiant,name,surname,iden,NbVote,NbYes,NbNo,NbAbst,group,vote1,vote30,vote31,vote32,vote40,vote41,vote49,vote62,vote63,vote71,vote82,vote85,vote259,vote260,vote261,vote279,vote280,vote281,vote291,vote292,vote307,vote308,vote481,vote482,vote497,vote499,vote500,vote510,vote511,vote512,vote513,vote522,vote525,vote526,vote528,vote535,vote536,vote537,vote538,vote550,vote559,vote560,vote569,vote588,vote589,vote590,vote593,vote594,vote595,vote596,vote647,vote663,vote678,vote686,vote687,vote698,vote701,vote702,vote725,vote726,vote729,vote736,vote737,vote738,vote745,vote765,vote768,vote769,vote773,vote774,vote779,vote781,vote782,vote783,vote785,vote786,vote787,vote788,vote789,vote790,vote791,vote792,vote793,vote794,vote795,vote796,vote797,vote798,vote799,vote800,vote801,vote802,vote803,vote804,vote805,vote806,vote807,vote808,vote809,vote810,vote811,vote812,vote813,vote814,vote815,vote816,vote817,vote818,vote819,vote820,vote821,vote822,vote823,vote824,vote825,vote826,vote827,vote828,vote829,vote830,vote831,vote832,vote833,vote834,vote835,vote836,vote837,vote838,vote839,vote840,vote841,vote842,vote843,vote844,vote845,vote846,vote847,vote848,vote849,vote850,vote851,vote852,vote853,vote854,vote855,vote856,vote857,vote858,vote859,vote860,vote861,vote862,vote863,vote864,vote865,vote866,vote867,vote868,vote869,vote870,vote871,vote872,vote873,vote874,vote875,vote876,vote877,vote878,vote879,vote880,vote881,vote882,vote883,vote884,vote885,vote886,vote887,vote888,vote889,vote890,vote891,vote892,vote893,vote894,vote895,vote896,vote897,vote898,vote899,vote900,vote901,vote902,vote903,vote904,vote905,vote906,vote907,vote908,vote909,vote910,vote911,vote912,vote913,vote914,vote915,vote916,vote917,vote918,vote919,vote920,vote921,vote922,vote923,vote924,vote925,vote926,vote927,vote928,vote929,vote930,vote931,vote932,vote933,vote934,vote935,vote936,vote937,vote938,vote939,vote940,vote941,vote942,vote943,vote944,vote945,vote946,vote947,vote948,vote949,vote950,vote951,vote952,vote953,vote954,vote955,vote956,vote957,vote958,vote959,vote960,vote961,vote962,vote963,vote964,vote965,vote966,vote967,vote968,vote969,vote970,vote971,vote972,vote973,vote974,vote975,vote976,vote977,vote978,vote979,vote980,vote981,vote982,vote983,vote984,vote985,vote986,vote987,vote988,vote989,vote990,vote991,vote992,vote993,vote994,vote995,vote996,vote997,vote998,vote999,vote1000,vote1001,vote1002,vote1003,vote1004,vote1005,vote1006,vote1007,vote1008,vote1009,vote1010,vote1011,vote1012,vote1013,vote1014,vote1015,vote1016,vote1017,vote1018,vote1019,vote1020,vote1021,vote1022,vote1023,vote1024,vote1025,vote1026,vote1027,vote1028,vote1029,vote1030,vote1031,vote1032,vote1033,vote1034,vote1035,vote1036,vote1037,vote1038,vote1039,vote1040,vote1041,vote1042,vote1043,vote1044,vote1045,vote1046,vote1047,vote1048,vote1049,vote1050,vote1051,vote1052,vote1053,vote1054,vote1055,vote1056,vote1057,vote1058,vote1059,vote1060,vote1061,vote1062,vote1063,vote1064,vote1065,vote1066,vote1067,vote1068,vote1069,vote1070,vote1071,vote1072,vote1073,vote1074,vote1075,vote1076,vote1077,vote1078,vote1079,vote1080,vote1081,vote1082,vote1083,vote1084,vote1085,vote1086,vote1087,vote1088,vote1089,vote1090,vote1091,vote1092,vote1093,vote1094,vote1095,vote1096,vote1097,vote1098,vote1099,vote1100,vote1101,vote1102,vote1103,vote1104,vote1105,vote1106,vote1107,vote1108,vote1109,vote1110,vote1111,vote1112,vote1113,vote1114,vote1115,vote1116,vote1117,vote1118,vote1119,vote1120,vote1121,vote1122,vote1123,vote1124,vote1125,vote1126,vote1127,vote1128,vote1129,vote1130,vote1131,vote1132,vote1133,vote1134,vote1135,vote1136,vote1137,vote1138,vote1139,vote1140,vote1141,vote1142,vote1143,vote1144,vote1145,vote1146,vote1147,vote1148,vote1149,vote1150,vote1151,vote1152,vote1153,vote1154,vote1155,vote1156,vote1157,vote1158,vote1159,vote1160,vote1161,vote1162,vote1163,vote1164,vote1165,vote1166,vote1167,vote1168,vote1169,vote1170,vote1171,vote1172,vote1173,vote1174,vote1175,vote1176,vote1177,vote1178,vote1179,vote1180,vote1181,vote1182,vote1183,vote1184,vote1185,vote1186,vote1187,vote1188,vote1189,vote1190,vote1191,vote1192,vote1193,vote1194,vote1195,vote1196,vote1197,vote1198,vote1199,vote1200,vote1201,vote1202,vote1203,vote1204,vote1205,vote1206,vote1207,vote1208,vote1209,vote1210,vote1211,vote1212,vote1213,vote1214,vote1215,vote1216,vote1217,vote1218,vote1219,vote1220,vote1221,vote1222,vote1223,vote1224,vote1225,vote1226,vote1227,vote1228,vote1229,vote1230,vote1231,vote1232,vote1233,vote1234,vote1235,vote1236,vote1237,vote1238,vote1239,vote1240,vote1241,vote1242,vote1243,vote1244,vote1245,vote1246,vote1247,vote1248,vote1249,vote1250,vote1251,vote1252,vote1253,vote1254,vote1255,vote1256,vote1257,vote1258,vote1259,vote1260,vote1261,vote1262,vote1263,vote1264,vote1265,vote1266,vote1267,vote1268,vote1269,vote1270,vote1271,vote1272,vote1273,vote1274,vote1275,vote1276,vote1277,vote1278,vote1279,vote1280,vote1281,vote1282,vote1283,vote1284,vote1285,vote1286,vote1287,vote1288,vote1289,vote1290,vote1291,vote1292,vote1293,vote1294,vote1295,vote1296,vote1297,vote1298,vote1299,vote1300,vote1301,vote1302,vote1303,vote1304,vote1305,vote1306,vote1307,vote1308,vote1309,vote1310,vote1311,vote1312,vote1313,vote1314,vote1315,vote1316,vote1317,vote1318,vote1319,vote1320,vote1321,vote1322,vote1323,vote1324,vote1325,vote1326,vote1327,vote1328,vote1329,vote1330,vote1331,vote1332,vote1333,vote1334,vote1335,vote1336,vote1337,vote1338,vote1339,vote1340,vote1341,vote1342,vote1343,vote1344,vote1345,vote1346,vote1347,vote1348,vote1349,vote1350,vote1351,vote1352,vote1353,vote1354
2,88,PA856PM645353,Gérard,Cherpion,88-2,207,68,126,13,LR,Against,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,Against,For,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Against,Abstain,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Abstain,Against,Abstain,Against,Abstain,For,Against,Against,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,Against,Against,NA,NA,NA,NA,NA,NA,NA,Against,For,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,For,NA,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,For,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abstain,Abstain,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,For,NA,NA,NA,NA,NA,NA,NA,Against,Against,NA,NA,Against,Against,NA,Against,For,For,NA,For,NA,NA,For,For,NA,Against,For,For,For,For,Against,Against,Against,NA,Against,NA,NA,For,NA,For,For,Abstain,NA,Abstain,For,NA,For,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,Against,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,For,Against,Against,For,For,NA,Against,NA,NA,Against,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abstain,For,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,For,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,Against,For,For,Against,Against,For,For,NA,NA,NA,NA,Against,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abstain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,Against,Against,Against,NA,NA,NA,NA,NA,Against,For,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abstain,Abstain,NA,Against,NA,For,For,For,NA,NA,NA,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,Against,NA,NA,NA,For,For,For,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,For,For,For,For,For,For,For,For,For,For,For,For,For,NA,Against,NA,NA,For,NA,NA,NA,Against,For,NA,For,NA,NA,NA,NA,NA,NA,Against,Against,Against,NA,For,NA,Against,NA,NA
3,72,PA840PM645617,Guy-Michel,Chauveau,72-3,188,145,43,0,SER,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,NA,For,For,For,For,For,NA,NA,For,For,For,NA,For,For,For,NA,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,NA,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,For,For,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,Against,Against,NA,Against,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,Against,Against,For,NA,NA,NA,NA,NA,NA,NA,NA,For,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,For,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,For,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,Against,NA,NA,NA,NA,NA,NA,NA,For,For,NA,NA,For,For,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,For,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,For,NA,NA,For,NA,NA,NA,For,NA,For,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,For,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,For,For,NA,NA,NA,Against,Against,For,NA,For,NA,NA,NA,For,NA,For,Against,Against,For,For,NA,NA,NA,For,For,NA,For,NA,Against,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,For,Against,For,NA,NA,NA,Against,Against,NA,NA,NA,For,Against,NA,NA,NA,NA,NA,For,NA,For,For,Against,Against,Against,NA,NA,NA,NA,For,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,For,NA,NA,NA,Against,Against,Against,Against,Against,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,Against,Against,Against,Against,Against,Against,Against,Against,For,Against,Against,For,For,NA,NA,For,NA,NA,For,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,For,For,NA,NA,NA,For,NA,NA
3,44,PA712422PM712424,Karine,Daniel,44-3,32,16,15,1,SER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,Against,Against,NA,NA,NA,NA,For,For,NA,NA,NA,NA,NA,NA,Against,NA,NA,For,For,NA,NA,NA,Against,Against,Abstain,Against,Against,Against,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,Against,Against,NA,NA,NA,NA,NA,Against,For,Against,Against,NA,For,NA,Against,For,NA,NA,For,NA,NA,NA,For,Against,NA,NA,NA,NA,NA,NA,NA,NA,For,For,For,NA,NA,NA,For,NA,NA
2,89,PA770PM645361,Jean-Yves,Caullet,89-2,271,161,108,2,SER,For,For,For,For,For,For,For,For,For,NA,NA,For,For,For,For,For,For,NA,For,NA,For,For,For,For,NA,For,For,For,For,For,NA,For,For,For,For,NA,NA,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,For,NA,For,For,For,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,For,NA,NA,NA,NA,Against,NA,NA,For,For,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,Against,NA,NA,NA,Against,For,Against,For,Against,Against,Against,NA,NA,NA,NA,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,For,For,NA,NA,Against,Against,NA,Against,Against,Against,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,For,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,Against,NA,NA,Against,Against,Against,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,Against,NA,NA,NA,NA,NA,NA,NA,For,For,Against,NA,For,For,NA,For,For,Against,For,Against,NA,NA,Against,Against,Against,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,Against,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,Against,For,Against,For,NA,Against,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,For,For,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,For,NA,NA,NA,NA,NA,Against,Against,Against,Against,Against,For,NA,NA,NA,Against,NA,NA,For,NA,NA,For,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,For,For,For,NA,NA,For,For,NA,NA,NA,NA,NA,NA,NA,For,Against,NA,Against,Against,For,Against,Against,Against,NA,For,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,For,NA,For,NA,NA,NA,For,NA,NA,NA,NA,For,For,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,For,NA,Against,Against,Against,NA,Against,For,For,Against,Against,Against,Against,Against,Against,For,Against,Against,For,For,For,For,NA,NA,NA,NA,NA,NA,NA,For,Against,For,For,Against,NA,Against,Against,Against,Against,Against,For,Against,Abstain,NA,For,NA,NA,For,NA,NA,For,NA,Against,Against,NA,Against,For,NA,For,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,For,NA,NA,NA,Against,Against,NA,Against,Against,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,Against,Against,Against,NA,NA,NA,NA,For,NA,NA,Against,Against,Against,Against,Against,Against,Against,For,Against,Against,For,For,For,NA,For,NA,For,For,Against,For,NA,For,NA,NA,NA,Abstain,NA,NA,NA,NA,NA,For,For,For,NA,NA,NA,For,NA,NA
6,77,PA917PM645163,Jean-François,Copé,77-6,144,29,109,6,LR,Against,For,Against,For,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,For,Against,For,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Against,Abstain,Against,Against,NA,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,NA,Against,Against,NA,Against,Against,Against,Against,Abstain,Against,Abstain,Against,Abstain,For,Against,Against,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,Against,Against,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,Against,Against,NA,NA,Against,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,Against,NA,NA,Against,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,NA,Against,For,For,Against,Against,For,For,NA,NA,NA,NA,Against,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abstain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,Against,NA,For,For,For,NA,NA,NA,Against,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,Against,NA,NA,NA,For,For,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,NA,NA,For,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For,NA,NA,Against,NA,NA,For,NA,NA,NA,Against,NA,NA,NA,NA,NA,NA,NA,NA,NA,Against,Against,Against,NA,NA,NA,Against,NA,NA
